country,year,population,gdp,electricity_demand,electricity_generation,fossil_electricity,renewables_electricity,nuclear_electricity,coal_electricity,gas_electricity,oil_electricity,solar_electricity,wind_electricity,hydro_electricity,primary_energy_consumption,greenhouse_gas_emissions,carbon_intensity_elec
Argentina,2020,45191960.0,735814250460.0,149.35000610351562,144.63999938964844,98.01000213623048,36.619998931884766,10.010000228881836,1.6399999856948853,88.72000122070312,7.650000095367432,1.340000033378601,9.40999984741211,23.670000076293945,863.9719848632812,57.09000015258789,394.7000122070313
Argentina,2021,45312282.0,812324184006.0,155.64999389648438,153.14999389648438,105.94000244140624,37.040000915527344,10.170000076293944,2.380000114440918,89.93000030517578,13.630000114440918,2.200000047683716,12.9399995803833,19.649999618530273,948.1873779296876,62.33000183105469,406.989990234375
Argentina,2022,45407904.0,854914363923.0,158.49000549316406,145.61000061035156,95.87000274658205,42.27000045776367,7.46999979019165,2.3399999141693115,76.5999984741211,16.93000030517578,2.940000057220459,14.15999984741211,22.770000457763672,1001.241455078125,57.18000030517578,392.69000244140625
Argentina,2023,45538402.0,897504543840.0,159.9199981689453,148.55999755859375,87.94999694824219,51.650001525878906,8.960000038146973,1.830000042915344,76.31999969482422,9.800000190734863,3.2799999713897705,14.479999542236328,31.489999771118164,1004.2608032226562,52.130001068115234,350.8999938964844
Australia,2000,19132472.0,692059312020.0,216.8300018310547,216.8300018310547,199.2899932861328,17.540000915527344,0.0,180.2599945068359,16.760000228881836,2.2699999809265137,0.050000000745058,0.1299999952316284,16.469999313354492,1305.259521484375,174.75999450683594,805.97998046875
Australia,2001,19365438.0,713890072308.0,224.2599945068359,224.2599945068359,207.0,17.260000228881836,0.0,179.8800048828125,24.5,2.619999885559082,0.050000000745058,0.2899999916553497,16.1200008392334,1315.38525390625,180.11000061035156,803.1300048828125
Australia,2002,19595356.0,747065694937.0,223.4900054931641,223.4900054931641,205.5399932861328,17.950000762939453,0.0,171.86000061035156,30.549999237060547,3.130000114440918,0.0599999986588954,0.5299999713897705,16.09000015258789,1341.7451171875,177.60000610351562,794.6699829101562
Australia,2003,19819449.0,774450991263.0,225.9499969482422,225.9499969482422,207.2899932861328,18.65999984741211,0.0,173.61000061035156,30.149999618530273,3.5299999713897705,0.0599999986588954,0.699999988079071,16.209999084472656,1360.8623046875,178.99000549316406,792.1699829101562
Australia,2004,20046679.0,809792445090.0,229.22999572753903,229.22999572753903,209.8500061035156,19.3799991607666,0.0,178.9600067138672,27.36000061035156,3.5299999713897705,0.0700000002980232,0.800000011920929,15.6899995803833,1404.444091796875,181.7400054931641,792.8300170898438
Australia,2005,20294490.0,840092380696.0,230.7400054931641,230.7400054931641,210.02000427246097,20.719999313354492,0.0,182.97999572753903,23.260000228881836,3.7799999713897705,0.0799999982118606,1.2999999523162842,15.470000267028809,1410.3502197265625,182.6999969482422,791.7999877929688
Australia,2006,20590566.0,866678665246.0,237.9900054931641,237.9900054931641,216.8500061035156,21.13999938964844,0.0,185.7599945068359,27.290000915527344,3.799999952316284,0.1000000014901161,2.1600000858306885,14.949999809265137,1470.837890625,188.1300048828125,790.5
Australia,2007,20954545.0,911250727265.0,243.19000244140625,243.19000244140625,222.8999938964844,20.290000915527344,0.0,185.4900054931641,33.400001525878906,4.010000228881836,0.1099999994039535,2.8499999046325684,13.050000190734863,1506.1669921875,192.3999938964844,791.1500244140625
Australia,2008,21370595.0,937889628737.0,245.3800048828125,245.3800048828125,226.2599945068359,19.1200008392334,0.0,184.2400054931641,36.310001373291016,5.710000038146973,0.1400000005960464,3.4600000381469727,11.81999969482422,1531.7454833984375,194.22000122070312,791.510009765625
Australia,2009,21783014.0,963129933389.0,249.8999938964844,249.8999938964844,229.7400054931641,20.15999984741211,0.0,182.02000427246097,41.119998931884766,6.599999904632568,0.2899999916553497,4.440000057220459,12.640000343322754,1509.5445556640625,196.1999969482422,785.1099853515625
Australia,2010,22141583.0,993853968687.0,250.97000122070312,250.97000122070312,228.80999755859375,22.15999984741211,0.0,176.02000427246094,46.790000915527344,6.0,0.9800000190734864,4.989999771118164,13.75,1508.837890625,194.6699981689453,775.6699829101562
Australia,2011,22479779.0,1024000293343.0,256.2799987792969,256.2799987792969,225.6699981689453,30.61000061035156,0.0,171.97999572753906,48.779998779296875,4.909999847412109,2.0399999618530273,6.429999828338623,19.56999969482422,1558.6024169921875,192.05999755859375,749.4199829101562
Australia,2012,22852648.0,1062662906305.0,250.66000366210935,250.66000366210935,220.38999938964844,30.270000457763672,0.0,165.3800048828125,49.810001373291016,5.199999809265137,2.4100000858306885,7.71999979019165,17.040000915527344,1536.113037109375,187.2400054931641,746.989990234375
Australia,2013,23236271.0,1086068056518.0,249.55999755859375,249.55999755859375,214.02999877929688,35.529998779296875,0.0,155.4499969482422,52.720001220703125,5.860000133514404,3.849999904632568,9.260000228881836,19.09000015258789,1555.586181640625,181.22000122070312,726.1599731445312
Australia,2014,23595599.0,1113888062929.0,247.6499938964844,247.6499938964844,214.88999938964844,32.7599983215332,0.0,155.22999572753906,53.65999984741211,6.0,4.949999809265137,9.779999732971191,14.479999542236328,1566.4581298828125,181.82000732421875,734.1799926757812
Australia,2015,23947997.0,1139303344945.0,253.9900054931641,253.9900054931641,218.19000244140625,35.79999923706055,0.0,162.1999969482422,49.709999084472656,6.28000020980835,6.199999809265137,11.829999923706056,14.09000015258789,1601.6258544921875,185.33999633789065,729.7100219726562
Australia,2016,24329963.0,1169967279612.0,258.2300109863281,258.2300109863281,216.4900054931641,41.7400016784668,0.0,162.36000061035156,48.11000061035156,6.019999980926514,7.440000057220459,13.039999961853027,17.6299991607666,1606.8890380859375,184.25,713.510009765625
Australia,2017,24731044.0,1197832839959.0,258.9700012207031,258.9700012207031,219.77999877929688,39.189998626708984,0.0,159.1699981689453,55.09000015258789,5.519999980926514,8.920000076293945,13.210000038146973,13.5,1602.028076171875,185.9600067138672,718.0800170898438
Australia,2018,25119700.0,1231576952488.0,262.6300048828125,262.6300048828125,213.13999938964844,49.4900016784668,0.0,156.55999755859375,51.459999084472656,5.119999885559082,12.329999923706056,16.260000228881836,17.309999465942383,1625.908203125,180.8000030517578,688.4199829101562
